ONET-SOC Code	Item	Response	N	Percent	Date
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2032.00	O*NET-SOC Establishment Response Rate	n/a	n/a	60.7	3/2003
29-2032.00	O*NET-SOC Employee Response Rate	n/a	n/a	69.4	3/2003
29-2032.00	O*NET-SOC Case Completeness Rate	n/a	n/a	89.2	3/2003
29-2032.00	Total Completes for O*NET-SOC	n/a	83	n/a	3/2003
29-2032.00	Data Collection Mode	Paper	69	83.1	3/2003
29-2032.00	Data Collection Mode	Web	14	16.9	3/2003
29-2032.00	How Long at Current Job	10 Years or More	38	45.8	3/2003
29-2032.00	How Long at Current Job	6-9 Years	12	14.5	3/2003
29-2032.00	How Long at Current Job	1-5 Years	30	36.1	3/2003
29-2032.00	How Long at Current Job	<1 Year	3	3.6	3/2003
29-2032.00	How Long at Current Job	Missing	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	83	100	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-2032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2034.01	O*NET-SOC Establishment Response Rate	n/a	n/a	63.4	3/2003
29-2034.01	O*NET-SOC Employee Response Rate	n/a	n/a	64.2	3/2003
29-2034.01	O*NET-SOC Case Completeness Rate	n/a	n/a	95.3	3/2003
29-2034.01	Total Completes for O*NET-SOC	n/a	82	n/a	3/2003
29-2034.01	Data Collection Mode	Paper	74	90.2	3/2003
29-2034.01	Data Collection Mode	Web	8	9.8	3/2003
29-2034.01	How Long at Current Job	10 Years or More	33	40.2	3/2003
29-2034.01	How Long at Current Job	6-9 Years	13	15.9	3/2003
29-2034.01	How Long at Current Job	1-5 Years	32	39	3/2003
29-2034.01	How Long at Current Job	<1 Year	4	4.9	3/2003
29-2034.01	How Long at Current Job	Missing	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	82	100	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-2034.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2041.00	O*NET-SOC Establishment Response Rate	n/a	n/a	68.8	3/2003
29-2041.00	O*NET-SOC Employee Response Rate	n/a	n/a	70.1	3/2003
29-2041.00	O*NET-SOC Case Completeness Rate	n/a	n/a	91.2	3/2003
29-2041.00	Total Completes for O*NET-SOC	n/a	93	n/a	3/2003
29-2041.00	Data Collection Mode	Paper	84	90.3	3/2003
29-2041.00	Data Collection Mode	Web	9	9.7	3/2003
29-2041.00	How Long at Current Job	10 Years or More	23	24.7	3/2003
29-2041.00	How Long at Current Job	6-9 Years	22	23.7	3/2003
29-2041.00	How Long at Current Job	1-5 Years	42	45.2	3/2003
29-2041.00	How Long at Current Job	<1 Year	5	5.4	3/2003
29-2041.00	How Long at Current Job	Missing	1	1.1	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	35	37.6	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	7	7.5	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	51	54.8	3/2003
29-2041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2054.00	O*NET-SOC Establishment Response Rate	n/a	n/a	57.4	3/2003
29-2054.00	O*NET-SOC Employee Response Rate	n/a	n/a	59.8	3/2003
29-2054.00	O*NET-SOC Case Completeness Rate	n/a	n/a	89.9	3/2003
29-2054.00	Total Completes for O*NET-SOC	n/a	71	n/a	3/2003
29-2054.00	Data Collection Mode	Paper	63	88.7	3/2003
29-2054.00	Data Collection Mode	Web	8	11.3	3/2003
29-2054.00	How Long at Current Job	10 Years or More	39	54.9	3/2003
29-2054.00	How Long at Current Job	6-9 Years	15	21.1	3/2003
29-2054.00	How Long at Current Job	1-5 Years	12	16.9	3/2003
29-2054.00	How Long at Current Job	<1 Year	5	7	3/2003
29-2054.00	How Long at Current Job	Missing	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	71	100	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-2054.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2061.00	O*NET-SOC Establishment Response Rate	n/a	n/a	64.6	3/2003
29-2061.00	O*NET-SOC Employee Response Rate	n/a	n/a	55	3/2003
29-2061.00	O*NET-SOC Case Completeness Rate	n/a	n/a	84.6	3/2003
29-2061.00	Total Completes for O*NET-SOC	n/a	66	n/a	3/2003
29-2061.00	Data Collection Mode	Paper	62	93.9	3/2003
29-2061.00	Data Collection Mode	Web	4	6.1	3/2003
29-2061.00	How Long at Current Job	10 Years or More	31	47	3/2003
29-2061.00	How Long at Current Job	6-9 Years	7	10.6	3/2003
29-2061.00	How Long at Current Job	1-5 Years	22	33.3	3/2003
29-2061.00	How Long at Current Job	<1 Year	5	7.6	3/2003
29-2061.00	How Long at Current Job	Missing	1	1.5	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	66	100	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-2061.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2071.00	O*NET-SOC Establishment Response Rate	n/a	n/a	62.6	3/2003
29-2071.00	O*NET-SOC Employee Response Rate	n/a	n/a	71	3/2003
29-2071.00	O*NET-SOC Case Completeness Rate	n/a	n/a	88.9	3/2003
29-2071.00	Total Completes for O*NET-SOC	n/a	128	n/a	3/2003
29-2071.00	Data Collection Mode	Paper	123	96.1	3/2003
29-2071.00	Data Collection Mode	Web	5	3.9	3/2003
29-2071.00	How Long at Current Job	10 Years or More	26	20.3	3/2003
29-2071.00	How Long at Current Job	6-9 Years	30	23.4	3/2003
29-2071.00	How Long at Current Job	1-5 Years	54	42.2	3/2003
29-2071.00	How Long at Current Job	<1 Year	17	13.3	3/2003
29-2071.00	How Long at Current Job	Missing	1	.8	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	125	97.7	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	3	2.3	3/2003
29-2071.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
31-9091.00	O*NET-SOC Establishment Response Rate	n/a	n/a	63.3	3/2003
31-9091.00	O*NET-SOC Employee Response Rate	n/a	n/a	77.8	3/2003
31-9091.00	O*NET-SOC Case Completeness Rate	n/a	n/a	95.2	3/2003
31-9091.00	Total Completes for O*NET-SOC	n/a	79	n/a	3/2003
31-9091.00	Data Collection Mode	Paper	78	98.7	3/2003
31-9091.00	Data Collection Mode	Web	1	1.3	3/2003
31-9091.00	How Long at Current Job	10 Years or More	26	32.9	3/2003
31-9091.00	How Long at Current Job	6-9 Years	15	19	3/2003
31-9091.00	How Long at Current Job	1-5 Years	29	36.7	3/2003
31-9091.00	How Long at Current Job	<1 Year	9	11.4	3/2003
31-9091.00	How Long at Current Job	Missing	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	79	100	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
31-9091.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
33-1012.00	O*NET-SOC Establishment Response Rate	n/a	n/a	72.4	3/2003
33-1012.00	O*NET-SOC Employee Response Rate	n/a	n/a	73.4	3/2003
33-1012.00	O*NET-SOC Case Completeness Rate	n/a	n/a	89.5	3/2003
33-1012.00	Total Completes for O*NET-SOC	n/a	102	n/a	3/2003
33-1012.00	Data Collection Mode	Paper	89	87.3	3/2003
33-1012.00	Data Collection Mode	Web	13	12.7	3/2003
33-1012.00	How Long at Current Job	10 Years or More	53	52	3/2003
33-1012.00	How Long at Current Job	6-9 Years	16	15.7	3/2003
33-1012.00	How Long at Current Job	1-5 Years	28	27.5	3/2003
33-1012.00	How Long at Current Job	<1 Year	5	4.9	3/2003
33-1012.00	How Long at Current Job	Missing	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	0	0	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	102	100	3/2003
33-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
33-3021.01	O*NET-SOC Establishment Response Rate	n/a	n/a	72.8	3/2003
33-3021.01	O*NET-SOC Employee Response Rate	n/a	n/a	72	3/2003
33-3021.01	O*NET-SOC Case Completeness Rate	n/a	n/a	92.2	3/2003
33-3021.01	Total Completes for O*NET-SOC	n/a	166	n/a	3/2003
33-3021.01	Data Collection Mode	Paper	134	80.7	3/2003
33-3021.01	Data Collection Mode	Web	32	19.3	3/2003
33-3021.01	How Long at Current Job	10 Years or More	59	35.5	3/2003
33-3021.01	How Long at Current Job	6-9 Years	27	16.3	3/2003
33-3021.01	How Long at Current Job	1-5 Years	64	38.6	3/2003
33-3021.01	How Long at Current Job	<1 Year	15	9	3/2003
33-3021.01	How Long at Current Job	Missing	1	.6	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	0	0	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	166	100	3/2003
33-3021.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
33-3051.01	O*NET-SOC Establishment Response Rate	n/a	n/a	72.8	3/2003
33-3051.01	O*NET-SOC Employee Response Rate	n/a	n/a	67.7	3/2003
33-3051.01	O*NET-SOC Case Completeness Rate	n/a	n/a	93.5	3/2003
33-3051.01	Total Completes for O*NET-SOC	n/a	258	n/a	3/2003
33-3051.01	Data Collection Mode	Paper	233	90.3	3/2003
33-3051.01	Data Collection Mode	Web	25	9.7	3/2003
33-3051.01	How Long at Current Job	10 Years or More	94	36.4	3/2003
33-3051.01	How Long at Current Job	6-9 Years	48	18.6	3/2003
33-3051.01	How Long at Current Job	1-5 Years	108	41.9	3/2003
33-3051.01	How Long at Current Job	<1 Year	8	3.1	3/2003
33-3051.01	How Long at Current Job	Missing	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	4	1.6	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	254	98.4	3/2003
33-3051.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
39-5012.00	O*NET-SOC Establishment Response Rate	n/a	n/a	52.2	3/2003
39-5012.00	O*NET-SOC Employee Response Rate	n/a	n/a	64.2	3/2003
39-5012.00	O*NET-SOC Case Completeness Rate	n/a	n/a	94.4	3/2003
39-5012.00	Total Completes for O*NET-SOC	n/a	67	n/a	3/2003
39-5012.00	Data Collection Mode	Paper	63	94	3/2003
39-5012.00	Data Collection Mode	Web	4	6	3/2003
39-5012.00	How Long at Current Job	10 Years or More	38	56.7	3/2003
39-5012.00	How Long at Current Job	6-9 Years	7	10.4	3/2003
39-5012.00	How Long at Current Job	1-5 Years	18	26.9	3/2003
39-5012.00	How Long at Current Job	<1 Year	4	6	3/2003
39-5012.00	How Long at Current Job	Missing	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	67	100	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
39-5012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
41-1011.00	O*NET-SOC Establishment Response Rate	n/a	n/a	62.2	3/2003
41-1011.00	O*NET-SOC Employee Response Rate	n/a	n/a	73.4	3/2003
41-1011.00	O*NET-SOC Case Completeness Rate	n/a	n/a	84	3/2003
41-1011.00	Total Completes for O*NET-SOC	n/a	79	n/a	3/2003
41-1011.00	Data Collection Mode	Paper	70	88.6	3/2003
41-1011.00	Data Collection Mode	Web	9	11.4	3/2003
41-1011.00	How Long at Current Job	10 Years or More	30	38	3/2003
41-1011.00	How Long at Current Job	6-9 Years	11	13.9	3/2003
41-1011.00	How Long at Current Job	1-5 Years	34	43	3/2003
41-1011.00	How Long at Current Job	<1 Year	4	5.1	3/2003
41-1011.00	How Long at Current Job	Missing	0	0	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	1	1.3	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	8	10.1	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	62	78.5	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	1	1.3	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	7	8.9	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
41-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
41-2021.00	O*NET-SOC Establishment Response Rate	n/a	n/a	63.9	3/2003
41-2021.00	O*NET-SOC Employee Response Rate	n/a	n/a	64	3/2003
41-2021.00	O*NET-SOC Case Completeness Rate	n/a	n/a	70.2	3/2003
41-2021.00	Total Completes for O*NET-SOC	n/a	80	n/a	3/2003
41-2021.00	Data Collection Mode	Paper	74	92.5	3/2003
41-2021.00	Data Collection Mode	Web	6	7.5	3/2003
41-2021.00	How Long at Current Job	10 Years or More	10	12.5	3/2003
41-2021.00	How Long at Current Job	6-9 Years	10	12.5	3/2003
41-2021.00	How Long at Current Job	1-5 Years	41	51.3	3/2003
41-2021.00	How Long at Current Job	<1 Year	18	22.5	3/2003
41-2021.00	How Long at Current Job	Missing	1	1.3	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	6	7.5	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	37	46.3	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	3	3.8	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	34	42.5	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
41-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
41-2031.00	O*NET-SOC Establishment Response Rate	n/a	n/a	63.4	3/2003
41-2031.00	O*NET-SOC Employee Response Rate	n/a	n/a	63.3	3/2003
41-2031.00	O*NET-SOC Case Completeness Rate	n/a	n/a	87.8	3/2003
41-2031.00	Total Completes for O*NET-SOC	n/a	101	n/a	3/2003
41-2031.00	Data Collection Mode	Paper	94	93.1	3/2003
41-2031.00	Data Collection Mode	Web	7	6.9	3/2003
41-2031.00	How Long at Current Job	10 Years or More	22	21.8	3/2003
41-2031.00	How Long at Current Job	6-9 Years	10	9.9	3/2003
41-2031.00	How Long at Current Job	1-5 Years	46	45.5	3/2003
41-2031.00	How Long at Current Job	<1 Year	23	22.8	3/2003
41-2031.00	How Long at Current Job	Missing	0	0	3/2003
41-2031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
41-2031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
